Model,Processor,Screen Size,Screen Clarity,Screen Refresh Rate,Screen Material,Battery Capacity (Wh),Weight (kg),Reference Price,Battery Life,Power Consumption (W/h),CPU Maximum Frequency (GHz),CPU Full Load Power Consumption (W),Cooling Plate Area Min (mm²),Cooling Plate Area Max (mm²),Number of Fans,Number of Heat Pipes
REDMI Book 14 2025,220H,14,1800P,120Hz,IPS,56,1.35,5199,5h32m,10.1,4.9,115,800,1200,2,2
Zenbook 14 2025,285H,14,1800P,120Hz,OLED,75,1.21,7499,8h50m,8.5,5.4,115,1000,1500,2,2
Infinity 14N,228V,14,1800P,120Hz,IPS,60,1.28,5999,9h50m,6.1,4.5,37,400,600,1,1
Acer Swift Go Air,13620H,14,1400P,60Hz,IPS,60,0.974,3999,5h27m,11,4.9,115,800,1200,2,2
Honor X14 Plus 2025,220H,14,1800P,120Hz,IPS,60,1.35,4999,6h10m,9.7,4.9,115,800,1200,2,2
ROG Flow X 2025,AI MAX+ 395,13.4,1600P,180Hz,IPS Touchscreen,70,1.62,14999,6h58m,10,5.1,120,1500,2000,2,3
Founder Ziguang 14,155H,14,1200P,60Hz,IPS,65,1.09,5839,6h40m,9.7,4.8,115,800,1200,2,2
Xiaoxin Pro 14 GT,225H,14,1800P,120Hz,OLED,84,1.4,5600,10h42m,7.9,4.9,115,1000,1500,2,2
Thinkpad X9 Aura AI Edition,258V,14,1800P,120Hz,OLED Touchscreen,55,1.27,10999,8h16,6.7,4.8,37,400,600,1,1
MagicBook Pro 14,285H,14.6,2080P,120Hz,OLED Touchscreen,92,1.4,6159,12h11m,7.6,5.4,115,1000,1500,2,2
REDMI Book Pro 14 2025,255H,14,1800P,120Hz,IPS,80,1.45,5599,10h29m,7.6,5.1,115,800,1200,2,2
Surface Pro 11,266v,13,1920P,120Hz,OLED Touchscreen,47,0.875 (with keyboard and pen 1.16),15288,9h40m,4.9,5,37,300,500,0,1
Yoga Air X,258v,14,2400P,120Hz,OLED Touchscreen,75,1.24,12999,10h37m,7.1,4.8,37,400,600,1,1
Zenbook 14 Air,258v,14,1800P,120Hz,OLED,72,1.18,8999,11h56m,6,4.8,37,400,600,1,1
ThinkBook 14+ 2025 Ryzen Edition,AI9 365,14.5,1920P,120Hz,IPS,85,1.54,7999,9h58m,8.5,5,54,600,800,2,2
Fujitsu LifeBook UHX1BC,1355U,14,1200P,60Hz,IPS,25,0.687,240000 JPY,3h34m,7,5,55,600,800,1,1
Acer Swift Go Princess Edition,13620H,14,1800P,120Hz,IPS,60,1.49,4899,4h21m,13.8,4.9,115,800,1200,2,2
ThinkPad T14p AI 2024,125H,14.5,1600P,90Hz,IPS,75,1.62,7499,7h03m,10.6,4.5,115,1000,1500,2,2
Asus A豆 14 Air Fragrance Edition,8945H,14,1800P,120Hz,OLED,75,1.33,6988,7h23m,10.2,5.2,54,600,800,2,2
无畏Pro 14,228v,14,1800P,120Hz,OLED,75,1.29,6999,10h9m,7.4,4.5,37,400,600,1,1
